Mainhardt (Baden-Wurttemberg, Germany);tgn,1040223;is:pleiades:118829
Marktbreit (Bavaria, Germany);tgn,1040256;is:pleiades:118835
Mellrichstadt (Bavaria, Germany);tgn,1040304;is:pleiades:118841
Mengen (Baden-Wurttemberg, Germany);tgn,7012599;is:pleiades:118842
Milseburg (Hesse, Germany);tgn,1105641;is:pleiades:118844
Murrhardt (Baden-Wurttemberg, Germany);tgn,7012612;is:pleiades:118854
Nebra (Saxony-Anhalt, Germany);tgn,1037335;is:pleiades:118860
Neratovice (Czech Republic);tgn,1027412;is:pleiades:118866
Nersingen (Bavaria, Germany);tgn,1040419;is:pleiades:118867
Nidderau (Hesse, Germany);tgn,1040490;is:pleiades:118873
Nymburk (Czech Republic);tgn,1027432;is:pleiades:118883
Oberdorla (Thuringia, Germany);tgn,1037406;is:pleiades:118886
Oberscheidental (Baden-Wurttemberg, Germany);tgn,1040581;is:pleiades:118890
Ochsenfurt (Bavaria, Germany);tgn,1040603;is:pleiades:118893
Osterburken (Baden-Wurttemberg, Germany);tgn,7012337;is:pleiades:118898
Pocking (Bavaria, Germany);tgn,1040754;is:pleiades:118910
Radotin (Czech Republic);tgn,1027492;is:pleiades:118921
Risstissen (Baden-Wurttemberg, Germany);tgn,1040924;is:pleiades:118933
Rotha (Saxony, Germany);tgn,1037542;is:pleiades:118935
Schkopau (Saxony-Anhalt, Germany);tgn,1037677;is:pleiades:118953
Schramberg (Baden-Wurttemberg, Germany);tgn,7012704;is:pleiades:118956
Schwepnitz (Saxony, Germany);tgn,1037712;is:pleiades:118958
Seligenstadt (Hesse, Germany);tgn,4010301;is:pleiades:118961
Steinheim (Bavaria, Germany);tgn,7012344;is:pleiades:118974
Strakonice (Czech Republic);tgn,1027558;is:pleiades:118977
Stuttgart (Baden-Wurttemberg, Germany);tgn,7004425;is:pleiades:118980
Stuttgart (Baden-Wurttemberg, Germany);tgn,1003262;is:pleiades:118980
Sulz (Baden-Wurttemberg, Germany);tgn,1041357;is:pleiades:118983
Treuchtlingen (Bavaria, Germany);tgn,7012741;is:pleiades:119000
Tuchlovice (Czech Republic);tgn,1027603;is:pleiades:119003
Unterhaching (Bavaria, Germany);tgn,1041492;is:pleiades:119012
Unterschwaningen (Bavaria, Germany);tgn,7012745;is:pleiades:119014
Waiblingen (Baden-Wurttemberg, Germany);tgn,7012751;is:pleiades:119041
Walldurn (Baden-Wurttemberg, Germany);tgn,7012756;is:pleiades:119043
Weissenfels (Saxony-Anhalt, Germany);tgn,1037949;is:pleiades:119044
Welzheim (Baden-Wurttemberg, Germany);tgn,1041738;is:pleiades:119046
Werneck (Bavaria, Germany);tgn,7012768;is:pleiades:119048
Worth (Bavaria, Germany);tgn,1041588;is:pleiades:119054
Zlonice (Czech Republic);tgn,1027673;is:pleiades:119064
Zalany (Czech Republic);tgn,1027046;is:pleiades:119069
Augusta (Turkey);tgn,5004380;is:pleiades:123072
Augusta (Western Australia, Australia);tgn,7001946;is:pleiades:123072
Augusta (Italy);tgn,7003802;is:pleiades:123072
Bernhardsthal (Niederosterreich, Austria);tgn,1025445;is:pleiades:128361
Branc (Slovakia);tgn,6000926;is:pleiades:128368
Breclav (Czech Republic);tgn,1027072;is:pleiades:128370
Dobrodzien (Poland);tgn,1049012;is:pleiades:128392
